"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_SOD-323_HandSoldering";1;"3V6";;;
2;"J1";"MPU-6050-Module";1;"Conn_01x08_Male";;;
3;"J2";"JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical";1;"Conn_01x09_Male";;;
4;"R2";"R_0805_2012Metric";1;"4.7k";;;
5;"R3";"R_0805_2012Metric";1;"1.5k";;;
6;"U4";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
7;"J13,J5,J18,J14,J3";"JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical";5;"Conn_01x07_Male";;;
8;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
9;"C6,C5";"C_0805_2012Metric";2;"0.1uF";;;
10;"J12,J11";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";2;"Conn_01x03_Male";;;
11;"R11,R12";"R_0805_2012Metric";2;"4k7";;;
12;"J10";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Conn_01x04_Male";;;
13;"J4,J7,J8";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";3;"Conn_01x06_Male";;;
14;"R9,R8";"R_0805_2012Metric";2;"R";;;
15;"U2,U1";"SOIC-16_3.9x9.9mm_P1.27mm";2;"MCP3008";;;
16;"C12,C8,C10";"CP_Elec_5x5.3";3;"22uF";;;
17;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Bridged";;;
18;"C11,C9";"C_0805_2012Metric";2;"4.7uF";;;
19;"J6";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"Conn_01x02_Male";;;
20;"C7";"C_0805_2012Metric";1;"2.2uF";;;
21;"IC2";"SOP65P640X110-20N";1;"NTS0308EPWJ";;;
22;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper_3_Bridged12";;;
23;"L1";"INDPM7066X500N";1;"1uH";;;
24;"IC1";"MAX20404AFOCVY";1;"MAX20404AFOC_VY+";;;
25;"C14,C13";"C_0805_2012Metric";2;"1.0uF";;;
26;"R1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
