Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,0,Jumper_2_Bridged,N/A,
2,"C7,C5",C_0805_2012Metric,2,4.7uF,EMF212AB7475MGHT ,
3,"J7,J6,J1",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,3,Conn_01x06_Male,B6B-PH-K-S(LF)(SN) ,
4,"C8,C6,C4",CP_Elec_5x5.3,3,22uF,875105242005,Double Check
5,IC1,SOP65P640X110-20N,1,NTS0308EPWJ,NTS0308EPWJ,
6,"U2,U3",SOIC-16_3.9x9.9mm_P1.27mm,2,MCP3008,MCP3008,
7,"J9,J10,J8",JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,3,Conn_01x07_Male,B7B-PH-K-S(LF)(SN) ,
8,"H1,H4,H3,H2",MountingHole_3.2mm_M3_DIN965_Pad,0,MountingHole_Pad,N/A,
9,R8,R_0805_2012Metric,1,10k,,
10,"D2,D4,D3",LED_0805_2012Metric,3,LED,,
11,"R6,R7",R_0805_2012Metric,2,R,,
12,L1,INDPM7066X500N,1,1uH,,
13,J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Male,,
14,"C10,C9",C_0805_2012Metric,2,1.0uF,,
15,J4,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,1,Conn_01x09_Male,B9B-PH-K-S(LF)(SN) ,
16,R10,R_0805_2012Metric,1,1k2,,
17,U1,PCA9685 HW170,1,PCA9685,,
18,"R2,R1",R_0805_2012Metric,2,4k7,,
19,R4,R_0805_2012Metric,1,4.7k,,
20,R9,R_0805_2012Metric,1,3k3,,
21,"J3,J5",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Male,,
22,IC2,MAX20404AFOCVY,1,MAX20404AFOC_VY+,,
23,R5,R_0805_2012Metric,1,1.5k,,
24,"C1,C2",C_0805_2012Metric,2,0.1uF,,
25,D1,D_SOD-323_HandSoldering,1,3V6,,
26,C3,C_0805_2012Metric,1,2.2uF,,
27,J11,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Male,,
28,R3,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,,
29,J12,MPU-6050-Module,1,Conn_01x08_Male,,
