Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",50.990000,7.390000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",4.130000,17.330000,0.000000,top
"C3","2.2uF","C_0805_2012Metric",14.470000,22.200000,0.000000,top
"C4","22uF","CP_Elec_5x5.3",2.980000,12.330000,90.000000,top
"C5","4.7uF","C_0805_2012Metric",5.550000,20.090000,90.000000,top
"C6","22uF","CP_Elec_5x5.3",16.260000,13.150000,90.000000,top
"C7","4.7uF","C_0805_2012Metric",14.470000,18.140000,0.000000,top
"C8","22uF","CP_Elec_5x5.3",2.640000,24.930000,180.000000,top
"C9","1.0uF","C_0805_2012Metric",14.470000,20.180000,0.000000,top
"C10","1.0uF","C_0805_2012Metric",3.510000,20.090000,90.000000,top
"D1","3V6","D_SOD-323_HandSoldering",47.030000,7.700000,90.000000,top
"D2","LED","LED_0805_2012Metric",46.320000,-22.010000,90.000000,top
"D3","LED","LED_0805_2012Metric",48.400000,-22.010000,90.000000,top
"D4","LED","LED_0805_2012Metric",50.470000,-22.010000,90.000000,top
"IC1","NTS0308EPWJ","SOP65P640X110-20N",1.550000,-14.540000,90.000000,top
"IC2","MAX20404AFOC_VY+","MAX20404AFOCVY",9.630000,20.220000,0.000000,top
"J1","Conn_01x06_Male","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",22.130000,8.390000,0.000000,top
"J2","Conn_01x04_Male","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",26.720000,25.150000,0.000000,top
"J3","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",37.110000,13.970000,0.000000,top
"J4","Conn_01x09_Male","JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical",-8.650000,22.930000,-90.000000,top
"J5","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",37.110000,8.390000,0.000000,top
"J6","Conn_01x06_Male","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",-19.970000,-18.170000,0.000000,top
"J7","Conn_01x06_Male","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",22.110000,13.970000,0.000000,top
"J8","Conn_01x07_Male","JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical",22.110000,19.550000,0.000000,top
"J9","Conn_01x07_Male","JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical",-13.940000,18.930000,-90.000000,top
"J10","Conn_01x07_Male","JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical",-19.230000,18.930000,-90.000000,top
"L1","1uH","INDPM7066X500N",9.630000,12.850000,-90.000000,top
"R1","4k7","R_0805_2012Metric",-2.070000,-6.570000,0.000000,top
"R2","4k7","R_0805_2012Metric",-2.080000,-8.570000,0.000000,top
"R4","4.7k","R_0805_2012Metric",45.060000,7.382500,-90.000000,top
"R5","1.5k","R_0805_2012Metric",49.000000,7.370000,90.000000,top
"R6","R","R_0805_2012Metric",8.500000,24.450000,0.000000,top
"R7","R","R_0805_2012Metric",11.950000,24.440000,0.000000,top
"R8","10k","R_0805_2012Metric",46.320000,-25.500000,90.000000,top
"R9","3k3","R_0805_2012Metric",48.400000,-25.500000,90.000000,top
"R10","1k2","R_0805_2012Metric",50.470000,-25.510000,90.000000,top
"U1","PCA9685","PCA9685 HW170",21.500000,-8.500000,180.000000,top
"U2","MCP3008","SOIC-16_3.9x9.9mm_P1.27mm",-17.170000,-0.970000,90.000000,top
"U3","MCP3008","SOIC-16_3.9x9.9mm_P1.27mm",-17.160000,-9.360000,90.000000,top
