Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,,5
2,"C7,C5",C_0805_2012Metric,2,4.7uF,Digikey,10
3,"J7,J6,J1",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,3,Conn_01x06_Male,Digikey,15
4,"C8,C6,C4",CP_Elec_5x5.3,3,22uF,Digikey,15
5,IC1,SOP65P640X110-20N,1,NTS0308EPWJ,Mouser,5
6,"U2,U3",SOIC-16_3.9x9.9mm_P1.27mm,2,MCP3008,Digikey,10
7,"J9,J10,J8",JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,3,Conn_01x07_Male,,15
8,"H4,H1,H2,H3",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,,20
9,"R6,R7",R_0805_2012Metric,2,R,,10
10,L1,INDPM7066X500N,1,1uH,Digikey,5
11,J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Male,Digikey,5
12,"C10,C9",C_0805_2012Metric,2,1.0uF,,10
13,J4,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,1,Conn_01x09_Male,Digikey,5
14,U1,PCA9685,1,PCA9685,,5
15,"R2,R1",R_0805_2012Metric,2,4k7,,10
16,R4,R_0805_2012Metric,1,4.7k,,5
17,"J3,J5",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Male,Digikey,10
18,IC2,MAX20404AFOCVY,1,MAX20404AFOC_VY+,Digikey,5
19,R5,R_0805_2012Metric,1,1.5k,,5
20,"C1,C2",C_0805_2012Metric,2,0.1uF,,10
21,D1,D_SOD-323_HandSoldering,1,3V6,Digikey,5
22,C3,C_0805_2012Metric,1,2.2uF,,5
23,J11,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Male,,5
24,R3,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,,5
25,J12,MPU-6050-Module,1,Conn_01x08_Male,Amazon,5
